"N° Bon","Référence élément distribué","Libellé type de flux","Date de création","Date de 1ère prise","Date de remise","Nb de colis contenus","Gare de départ","Gare de destination","Délai de distribution","Délai de livraison","Statut","Autre identifiant","A l'attention de","Informations","Date clôture","Date dernière position","Gare dernière position","SPEEDUP","SITECREATION","SITEDEPOSE","TOURNEE","NBUM"
"55936","LC*00054904","SPEED UP","02/01/2017 15:41:07","02/01/2017 16:04:25","03/01/2017 09:26:11","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAH18MGA1 /                                     CHATEAU D'IF - 5JV - ARRIVEE","1042","1065","Remis","10274","","","02/01/2017 15:41:11","03/01/2017 09:26:11","MAH18MGA1 /                                     CHATEAU D'IF - 5JV - ARRIVEE","10274","2","1","",""
"55937","LC*00054905","SPEED UP","02/01/2017 15:43:25","02/01/2017 16:04:27","03/01/2017 09:26:11","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAH18MGA1 /                                     CHATEAU D'IF - 5JV - ARRIVEE","1042","1063","Remis","10273","","","02/01/2017 15:43:32","03/01/2017 09:26:11","MAH18MGA1 /                                     CHATEAU D'IF - 5JV - ARRIVEE","10273","2","1","",""
"56090","LC*00055055","SPEED UP","03/01/2017 11:59:32","03/01/2017 12:16:01","03/01/2017 14:35:12","18","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAH18CGA2 /                                     K2 - MARKET PLACE ELEC","139","153","Remis","10275","","","03/01/2017 12:02:14","03/01/2017 14:35:12","MAH18CGA2 /                                     K2 - MARKET PLACE ELEC","10275","2","1","",""
"56316","LC*00055281","SPEED UP","03/01/2017 16:54:17","","","1","MAR09ZGA1 /                                     R7 - RECEPTIONS EXTERIEURES","FLI04MGA1 /                                     FLORIDES - MAGASINS MACS - ARRIVEE","0","121987","Cloturé","10276","","","03/01/2017 16:54:39","03/01/2017 16:54:39","MAR09ZGA1 /                                     R7 - RECEPTIONS EXTERIEURES","10276","2","1","",""
"56649","LC*00055606","SPEED UP","05/01/2017 10:40:10","05/01/2017 11:42:57","05/01/2017 12:22:24","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","FLI04MGA1 /                                     FLORIDES - MAGASINS MACS - ARRIVEE","40","102","Remis","10278","","","05/01/2017 10:40:30","05/01/2017 12:22:24","FLI04MGA1 /                                     FLORIDES - MAGASINS MACS - ARRIVEE","10278","2","1","",""
"56654","LC*00055611","SPEED UP","05/01/2017 10:52:25","05/01/2017 11:10:07","05/01/2017 11:51:12","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAH18CGA1 /                                     CHATEAU D'IF - CCI ELEC","41","59","Remis","10281","","","05/01/2017 10:52:30","05/01/2017 11:51:12","MAH18CGA1 /                                     CHATEAU D'IF - CCI ELEC","10281","2","1","",""
"56759","LC*00055716","SPEED UP","05/01/2017 12:52:40","05/01/2017 14:17:44","05/01/2017 15:04:41","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAD14MGA7 /                                     LES AIRES - I1 - 5QE (NOUV MAG QUINCAILLE)","47","132","Remis","10285","","","05/01/2017 12:52:46","05/01/2017 15:04:41","MAD14MGA7 /                                     LES AIRES - I1 - 5QE (NOUV MAG QUINCAILLE)","10285","2","1","",""
"56860","LC*00055817","SPEED UP","05/01/2017 16:09:05","05/01/2017 16:15:09","05/01/2017 16:19:02","2","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAT11ZGAE /                                     R7 - GUICHET - ARRIVEE","4","10","Remis","10286","","","05/01/2017 16:09:30","05/01/2017 16:19:02","MAT11ZGAE /                                     R7 - GUICHET - ARRIVEE","10286","2","1","",""
"57027","LC*00055984","SPEED UP","06/01/2017 12:40:59","06/01/2017 14:02:46","06/01/2017 16:19:22","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","FLI04MGA1 /                                     FLORIDES - MAGASINS MACS - ARRIVEE","137","218","Remis","10289","","","06/01/2017 12:41:08","06/01/2017 16:19:22","FLI04MGA1 /                                     FLORIDES - MAGASINS MACS - ARRIVEE","10289","2","1","",""
"57154","LC*00056102","SPEED UP","09/01/2017 09:44:07","09/01/2017 11:40:17","09/01/2017 12:33:34","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAD12CGA1 /                                     H3 - COMPOSITE - ANNEXE","53","169","Remis","10295","","","09/01/2017 09:44:32","09/01/2017 12:33:34","MAD12CGA1 /                                     H3 - COMPOSITE - ANNEXE","10295","2","1","",""
"57187","LC*00056135","SPEED UP","09/01/2017 10:08:26","09/01/2017 11:40:15","09/01/2017 11:40:26","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAT11ZGAL /                                     R7 - EXPEDITIONS - PROGRAMMES - ARRIVEE","0","92","Remis","10297","","","09/01/2017 10:08:44","09/01/2017 11:40:26","MAT11ZGAL /                                     R7 - EXPEDITIONS - PROGRAMMES - ARRIVEE","10297","2","1","",""
"57203","LC*00056151","SPEED UP","09/01/2017 10:16:08","09/01/2017 11:40:18","09/01/2017 11:40:25","1","MAR09ZGD5 /                                     R7 - RECEPTION - DEPART","MAT11ZGAL /                                     R7 - EXPEDITIONS - PROGRAMMES - ARRIVEE","0","84","Remis","10299","","","09/01/2017 10:16:24","09/01/2017 11:40:25","MAT11ZGAL /                                     R7 - EXPEDITIONS - PROGRAMMES - ARRIVEE","10299","2","1","",""
"57513","LC*00056461","SPEED UP","09/01/2017 11:50:00","","09/01/2017 17:03:21","1","MAR11MGD1 /                                     R7 - 5 GH - DEPART","MAS10ZGA8 /                                     SPEED-UP MISE A DISPOSITION GUICHET R7","0","313","Remis","","","","09/01/2017 11:50:27","09/01/2017 17:03:21","MAS10ZGA8 /                                     SPEED-UP MISE A DISPOSITION GUICHET R7","10303","2","1","",""
